Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
Smilegate Barcelona,2024-03-27,45,Smilegate,Console,Spain,South Korea
Sega HARDLight,2024-03-28,,SEGA,Mobile,England,Japan
Creative Assembly,2024-03-28,240,SEGA,Console,England,Japan
Certain Affinity,2024-03-28,25,,Indie,Texas,Texas
Gearbox Publishing,2024-03-28,,TakeTwo Interactive,Publisher,Texas,United States
Bold Spirit Game Studio,2024-04-01,30,,Indie,Quebec,Canada
Ubisoft,2024-04-02,45,Ubisoft,Publisher,,France
MI-CLOS Studio,2024-04-03,20,,Indie,France,France
Whitethorn Games,2024-04-03,5,,Publisher,Pennsylvania,United States
Spearhead Games,2024-04-03,31,,Indie,Quebec,Canada
Singularity 6,2024-04-04,49,,Online,California,California
Relic Entertainment,2024-04-04,40,,Indie,British Columbia,Canada
Ubisoft Korea,2024-04-09,,Ubisoft,Publisher,South Korea,France
Possibility Space,2024-04-12,50,Prytania Media,Indie,Louisiana,United States
Kwalee,2024-04-16,40,,Mobile,England,United Kingdom
TakeTwo Interactive,2024-04-17,600,TakeTwo Interactive,Publisher,,United States
ModernWolf,2024-04-18,6,,Publisher,,
Bethesda France,2024-04-23,15,Microsoft,Publisher,France,United States
Flaming Fowl Studios,2024-04-23,20,,Indie,England,United Kingdom
NCSoft,2024-04-26,,NCSoft,Publisher,South Korea,South Korea
Playtika Belarus,2024-04-30,150,PlayTika,,Belarus,Israel
Keoken Interactive,2024-04-30,13,,Indie,Netherlands,Netherlands
Paladin Studios,2024-05-02,45,,Indie,Netherlands,Netherlands
Bethesda Softworks,2024-05-07,,Microsoft,Publisher,Maryland,United States
Tango GameWorks,2024-05-07,150,Microsoft,Console,Japan,United States
Alpha Dog Games,2024-05-07,25,Microsoft,Mobile,Nova Scotia,United States
Arkane Austin,2024-05-07,60,Microsoft,Console,Texas,United States
Dawon Interactive,2024-05-08,,Prytania Media,Indie,India,United States
Lightforge Games,2024-05-08,35,,Online,California,United States
CI Games,2024-05-10,30,,Indie,Poland,Poland
Mighty Kingdom,2024-05-13,25,,Mobile,Australia,Australia
Studio Wildcard,2024-05-15,6,SDE Inc.,Console,Washington,United States
Singularity 6,2024-05-16,36,,Online,California,United States
Phoenix Labs,2024-05-16,162,Forte,Console,British Columbia,United States
GameLoft Cluj,2024-05-16,136,Vivendi,Mobile,Romania,France
Fall Damage,2024-05-23,50,Fragbite,Online,Sweden,Sweden
Hatchery Games,2024-05-23,13,,Indie,Quebec,Canada
Avalanche Studios,2024-06-03,,Avalanche Studios Group,Console,Quebec,Sweden
Avalanche Studios,2024-06-03,50,Avalanche Studios Group,Console,New York,Sweden
Behaviour Interactive,2024-06-04,95,,Console,Quebec,Canada
GameLoft Kharkiv,2024-06-05,41,Vivendi,Mobile,Ukraine,France
Sumo Group,2024-06-11,150,Tencent,Console,United Kingdom,China
Timbre Games,2024-06-11,100,Tencent,Console,British Columbia,China
VRChat,2024-06-12,50,,AR/VR,California,United States
Archiact,2024-06-12,,,AR/VR,British Columbia,Canada
Striking Distance Studios,2024-06-14,10,Krafton,Console,California,South Korea
Galvanic Games Inc.,2024-06-14,,,Indie,Washington,United States
Pieces Interactive AB,2024-06-17,40,Embracer Group,Console,Sweden,Sweden
Paradox Tectonic,2024-06-18,18,Paradox Interactive,Console,California,Sweden
Techland,2024-06-18,,Tencent,Console,Poland,China
GameLoft Toronto,2024-06-26,49,Viacom,Mobile,Ottawa,France
Ubisoft Toronto,2024-06-27,33,Ubisoft,Console,Ottawa,France
Surgent Studios,2024-07-02,12,,Indie,England,United Kingdom
Wicked Games AG.,2024-07-03,15,,Indie,Switzerland,Switzerland
Splash Damage,2024-07-11,,Splash Damage Group Limited,Console,England,United Kingdom
Rumble Games,2024-07-12,35,Forte,Mobile,California,United States
NetherRealm Studios,2024-07-17,50,Warner Brothers,Console,Illinois,United States
Humble Games,2024-07-23,36,Ziff Davis,Publisher,California,United States
Lively Studio,2024-07-29,,Keywords Studios,Mobile,United Kingdom,Ireland
Bungie,2024-07-31,220,Sony,Console,Washington,Japan
probablyMonsters,2024-08-01,,,Console,Washington,United States
Jam City,2024-08-02,85,Netmarble,Mobile,California,South Korea
Ready at Dawn,2024-08-08,,Meta,AR/VR,California,United States
Com2Us,2024-08-09,100,Com2Us,Mobile,South Korea,South Korea
Archiact,2024-08-12,12,,AR/VR,British Columbia,Canada
Ubisoft San Francisco,2024-08-15,45,Ubisoft,Console,California,France
Machine Zone,2024-08-15,,App Lovin,Mobile,California,United States
CodeName Entertainment,2024-08-16,6,,Indie,British Columbia,Canada
Visual Concepts,2024-08-23,22,TakeTwo Interactive,Console,California,United States
Ouka Studios,2024-08-28,,Netease,Console,Japan,China
Toadman Interactive,2024-08-28,,Enad Global 7,Console,Norway,Sweden
Toadman Interactive,2024-08-28,100,Enad Global 7,Console,Sweden,Sweden
Ballistic Moon Ltd.,2024-08-30,,,Console,England,United Kingdom
Tilting Point,2024-09-02,90,,Mobile,New York,United States
Lost Boys Interactive,2024-09-06,139,Embracer Group,Console,Wisconsin,Sweden
Midnight Society,2024-09-11,,,Online,California,United States
Microsoft Gaming,2024-09-12,650,Microsoft,Publisher,Washington,United States
Neon Machine,2024-09-12,35,,Indie,Washington,United States
Evening Star,2024-09-13,6,,Indie,,United States
Midwinter Entertainment,2024-09-17,35,Behaviour Interactive,Console,Washington,Canada
Airship Syndicate,2024-09-18,16,,Indie,Texas,United States
SkyBox Labs,2024-09-18,25,Netease,Online,British Columbia,China
Mountaintop Studios,2024-09-23,13,,Online,Washington,United States
Merge Games,2024-09-26,,Maximum Entertainment,Publisher,England,Sweden
Nexon America,2024-09-30,,Nexon,Publisher,California,South Korea
XR Games,2024-10-01,72,,AR/VR,England,United Kingdom
HiRez Studios,2024-10-01,70,Hirez Ventures,Online,Georgia,United States
Sharkmob London,2024-10-01,,Tencent,Console,England,China
Studio Black Flag,2024-10-02,5,,Indie,France,France
Antstream Arcade,2024-10-04,,,Online,England,United Kingdom
Tequila Works,2024-10-08,,Tencent,Console,Spain,China
Cryptic Studios,2024-10-09,,Embracer Group,Online,California,Sweden
NaturalMotion,2024-10-10,,TakeTwo Interactive,Mobile,England,United States
Riot Games,2024-10-15,32,Tencent,Online,California,China
DON'T NOD,2024-10-16,69,,Console,France,France
Surgent Studios,2024-10-18,,,Indie,England,United Kingdom
Inflexion Games,2024-10-22,50,Tencent,Console,Alberta,China
Netflix Studio Blue,2024-10-22,35,Netflix,Online,California,United States
Machine Zone,2024-10-24,,App Lovin,Mobile,California,United States
Firewalk Studios,2024-10-29,174,Sony,Console,Washington,Japan
Neon Koi,2024-10-29,45,Sony,Mobile,England,Japan
probablyMonsters,2024-10-30,50,,Console,Washington,United States
Fingersoft,2024-10-30,14,,Mobile,Finland,Finland
Skydance Interactive,2024-11-01,12,Paramount Global,AR/VR,California,United States
Heart Machine,2024-11-09,8,,Indie,California,United States
Lilith Games,2024-11-13,40,,Mobile,China,China
Thunderful Games,2024-11-14,100,Thunderful Group,Console,Sweden,Sweden
NCSoft,2024-11-15,500,NCSoft,Online,South Korea,South Korea
Reflector Entertainment,2024-11-18,45,Bandai Namco,Console,Quebec,Japan
Zapper Games,2024-11-19,18,Embracer Group,Console,North Carolina,Sweden
Humanoid Origin,2024-11-25,70,,Console,Alberta,Canada
KING Art Games,2024-11-25,10,,Indie,Germany,Germany
Worlds Untold,2024-11-26,35,Netease,Console,British Columbia,China
Ubisoft Osaka,2024-12-03,,Ubisoft,Console,Japan,France
Ubisoft San Francisco,2024-12-03,175,Ubisoft,Console,California,France
Torn Banner Studios,2024-12-03,,,Indie,Ottawa,Canada
Sweet Bandits,2024-12-04,10,,Indie,Qeuebec,Canada
IllFonic,2024-12-04,,,Indie,Colorado,United States
Ubisoft Sydney,2024-12-04,134,Ubisoft,Console,Australia,France
Deck Nine Games,2024-12-06,,,Indie,Colorado,United States
