NAME,FAILDATE,QBFASSET,QBFDEP,CITY,PSTALP,COST,RESTYPE
THE FIRST NATIONAL BK & TR CO. OF NORMAN,5/29/1986,73170,75727,NORMAN,OK,28732,FAILURE
"THE LONE ROCK BANK, N.A.",5/29/1986,7462,7165,LONE ROCK,IA,2200,FAILURE
BANK OF COLUMBIA FALLS,5/30/1986,41470,39228,COLUMBIA FALLS,MT,18393,FAILURE
"BANCO DE AHORRO, F.S.B.",5/30/1986,33961,30021,MAYAGUEZ,PR,6985,FAILURE
SEAPOINTE S&LA,5/31/1986,17343,37882,CARLSBAD,CA,36562,FAILURE
THE CITIZENS ST BANK OF MCCRACKEN,6/5/1986,11396,10691,MCCRACKEN,KS,6008,FAILURE
SECURITY BANK OF GLENROCK,6/6/1986,5993,5619,GLENROCK,WY,2314,FAILURE
FIRST OF MONTGOMERY COUNTY,6/6/1986,14512,15468,BLACKSBURG,VA,3259,ASSISTANCE
MOUNTAIN SECURITY SB,6/6/1986,125326,114335,WYTHEVILLE,VA,18928,ASSISTANCE
THE FARMERS NATIONAL BANK OF GRAYVILLE,5/27/1937,,258,GRAYVILLE,IL,,FAILURE
"PETROBANK, N.A.",6/12/1986,35455,34624,HOUSTON,TX,12647,FAILURE
BOSSIER BANK & TRUST COMPANY,6/13/1986,215830,201871,BOSSIER CITY,LA,86182,FAILURE
THE BANK OF COMMERCE,6/13/1986,75430,74262,SHREVEPORT,LA,27805,FAILURE
THE FIRST NATIONAL BANK OF CHANUTE,6/19/1986,45414,46636,CHANUTE,KS,9549,FAILURE
FIRST NATIONAL BANK OF BORGER,6/19/1986,80113,75196,BORGER,TX,29463,FAILURE
THE AMERICAN BANK,6/20/1986,40024,36175,ALMA,WI,3258,FAILURE
UNION DEPOSIT BANK,6/26/1986,5766,4998,UNION,KY,1256,FAILURE
CONTINENTAL NATIONAL BANK OF KENTUCKY,6/26/1986,10088,10188,LOUISVILLE,KY,405,FAILURE
COMMERCIAL STATE BANK,6/27/1986,47880,42878,POCAHONTAS,IA,9936,FAILURE
THE HOME STATE BANK,6/27/1986,9157,8968,ROCHESTER,TX,3135,FAILURE
CARROLL EXCHANGE BANK,5/29/1937,,787,CARROLLTON,MO,,FAILURE
ORANGE COAST THRIFT & LOAN ASSOCIATION,6/27/1986,13966,12330,LOS ALAMITOS,CA,5352,FAILURE
CITIZENS HOME SAVINGS COMPANY,6/27/1986,156119,168623,LORAIN,OH,138,ASSISTANCE
THE STATE S&L CO.,6/27/1986,381665,401807,EUCLID,OH,176,ASSISTANCE
NATIONAL BANK OF TEXAS,7/2/1986,33378,31725,AUSTIN,TX,14529,FAILURE
EQUITABLE FSB,7/9/1986,691489,645718,LANCASTER,OH,152257,ASSISTANCE
FARMERS STATE BANK OF CLARISSA,7/11/1986,17918,16791,CLARISSA,MN,7287,FAILURE
THE FIRST NAT BK & TR CO. OF OKLAHOMA,7/14/1986,1754157,1301346,OKLAHOMA CITY,OK,220721,FAILURE
ATLAS S&LA,7/14/1986,76393,85678,SAN FRANCISCO,CA,8547,ASSISTANCE
THE FIRST NATIONAL BANK OF SHERIDAN,7/17/1986,69334,63573,SHERIDAN,WY,5576,FAILURE
THE BANK OF KIOWA,7/17/1986,10924,11019,KIOWA,KS,5110,FAILURE
THE FIRST NATIONAL BANK OF MAHANOY CITY,6/5/1937,,2060,MAHANOY CITY,PA,,FAILURE
CALLAO COMMUNITY BANK,7/17/1986,5671,5652,CALLAO,MO,1011,FAILURE
FILLMORE COUNTY BANK,7/17/1986,11975,11175,GENEVA,NE,2362,FAILURE
NEW MEXICO NATIONAL BANK,7/17/1986,159298,149163,ALBUQUERQUE,NM,34266,FAILURE
FARMER'S BANK,7/18/1986,21445,20248,TRIMBLE,TN,7372,FAILURE
PERMIAN BANK,7/18/1986,41221,38366,ODESSA,TX,10434,FAILURE
SUN S&LA,7/18/1986,370935,334444,SAN DIEGO,CA,39820,ASSISTANCE
LINCOLN S&LA,7/23/1986,261702,230363,PORTLAND,OR,25235,ASSISTANCE
THE FIRST NATIONAL BANK OF PRAIRIE CITY,7/24/1986,18948,19248,PRAIRIE CITY,IA,1802,FAILURE
MCCUNE STATE BANK,7/24/1986,9134,8673,MCCUNE,KS,1713,FAILURE
THE BANK OF PARK COUNTY,7/25/1986,5950,5015,BAILEY,CO,0,FAILURE
COLOMA STATE BANK,6/14/1937,94,79,COLOMA,WI,,FAILURE
MOUNTAIN VALLEY BANK,7/25/1986,8054,7346,CONIFER,CO,580,FAILURE
CENTRAL ILLINOIS S&LA,7/25/1986,47585,58893,VIRDEN,IL,18680,FAILURE
MAJOR FEDERAL S&LA,7/25/1986,24999,21433,CINCINNATI,OH,8837,FAILURE
EDEN STATE BANK,7/31/1986,13340,13225,EDEN,TX,2513,FAILURE
FIRST NATIONAL BANK IN CORDELL,7/31/1986,23026,22814,CORDELL,OK,8763,FAILURE
THE GERING NATIONAL BANK & TRUST,7/31/1986,70213,70580,GERING,NE,19503,FAILURE
CITIZENS STATE BANK,7/31/1986,53963,53474,IOWA FALLS,IA,4832,FAILURE
NATIONAL PERMANENT BANK FSB,8/1/1986,1033795,738982,WASHINGTON,DC,52892,ASSISTANCE
THE FIRST NAT BANK & TRUST CO. OF EL RENO,8/7/1986,47182,44238,EL RENO,OK,15522,FAILURE
THE EASTON STATE BANK,8/7/1986,17197,17162,ESTON,KS,3740,FAILURE
THE ROMNEY BANK,6/15/1937,64,56,ROMNEY,IN,,FAILURE
FIRST CITIZENS BANK,8/7/1986,112668,105402,DALLAS,TX,16142,FAILURE
GRAETTINGER STATE BANK,8/7/1986,11828,11459,GRAETTINGER,IA,711,FAILURE
MEDICINE BOW STATE BANK,8/8/1986,4810,4207,MEDICINE BOW,WY,1585,FAILURE
